Date,Ticker,Action,Price,Shares,Return_Pct
2021-12-31,TARIL.NS,BUY,17.642681121826172,1889,0.0
2021-12-31,JPPOWER.NS,BUY,6.199999809265137,5376,0.0
2021-12-31,GRAVITA.NS,BUY,286.3995361328125,116,0.0
2021-12-31,FACT.NS,BUY,131.41635131835938,253,0.0
2021-12-31,SUZLON.NS,BUY,9.365781784057617,3559,0.0
2021-12-31,KPRMILL.NS,BUY,655.6248779296875,50,0.0
2021-12-31,UNOMINDA.NS,BUY,605.9592895507812,55,0.0
2021-12-31,PGEL.NS,BUY,80.21846771240234,415,0.0
2021-12-31,TTML.NS,BUY,206.35000610351562,161,0.0
2021-12-31,ALOKINDS.NS,BUY,25.75,1294,0.0
2021-12-31,INTELLECT.NS,BUY,729.8934936523438,45,0.0
2021-12-31,KPITTECH.NS,BUY,599.37353515625,55,0.0
2021-12-31,SWANCORP.NS,BUY,145.63421630859375,228,0.0
2021-12-31,CCL.NS,BUY,414.118408203125,80,0.0
2021-12-31,JWL.NS,BUY,43.385276794433594,768,0.0
2022-01-31,TARIL.NS,SELL,16.59311866760254,1889,-0.059489963400471746
2022-01-31,JPPOWER.NS,SELL,9.050000190734863,5376,0.4596774950235889
2022-01-31,GRAVITA.NS,SELL,330.1488952636719,116,0.15275638962826887
2022-01-31,FACT.NS,SELL,141.18409729003906,253,0.07432671713748218
2022-01-31,SUZLON.NS,SELL,10.97265625,3559,0.17156864242530134
2022-01-31,KPRMILL.NS,SELL,657.0452270507812,50,0.0021664051638474735
2022-01-31,UNOMINDA.NS,SELL,545.7517700195312,55,-0.09935901729616836
2022-01-31,PGEL.NS,SELL,75.5670394897461,415,-0.05798450600343619
2022-01-31,TTML.NS,SELL,149.1999969482422,161,-0.2769566632656366
2022-01-31,ALOKINDS.NS,SELL,30.950000762939453,1294,0.20194177720153217
2022-01-31,INTELLECT.NS,SELL,755.3131103515625,45,0.03482647389007476
2022-01-31,KPITTECH.NS,SELL,631.9358520507812,55,0.054327251679610056
2022-01-31,SWANCORP.NS,SELL,167.50930786132812,228,0.15020571475031552
2022-01-31,CCL.NS,SELL,456.35302734375,80,0.10198681899672746
2022-01-31,JWL.NS,SELL,49.193145751953125,768,0.13386727910111418
2022-01-31,MMTC.NS,BUY,61.099998474121094,583,0.0
2022-01-31,BDL.NS,BUY,238.86146545410156,149,0.0
2022-01-31,GMDCLTD.NS,BUY,101.64278411865234,350,0.0
2022-01-31,TATAELXSI.NS,BUY,7354.23046875,4,0.0
2022-01-31,DBREALTY.NS,BUY,82.5,432,0.0
2022-01-31,DEEPAKFERT.NS,BUY,546.1795043945312,65,0.0
2022-01-31,NAVA.NS,BUY,61.3986701965332,580,0.0
2022-01-31,HSCL.NS,BUY,55.88047409057617,637,0.0
2022-01-31,TRITURBINE.NS,BUY,197.68385314941406,180,0.0
